,table1,col1,table2,col2,sim_score
426,Jones2008-13,Significant Deletion,Daxenberger2013-17,File-Deletion,0.33130723
427,Daxenberger2013-17,File-Deletion,Jones2008-13,Significant Deletion,0.33130723
428,Yang2017-01,Vandalism,Guo2022-16,Emotionalism,0.3293656
429,Guo2022-16,Emotionalism,Yang2017-01,Vandalism,0.3293656
430,Rajagopal2022-02,Add Supporting Evidence,Zhang2015-06,Evidence,0.32878965
431,Zhang2015-06,Evidence,Rajagopal2022-02,Add Supporting Evidence,0.32878965
432,Yang2017-01,Clarification,Zhang2016-11,Clarity,0.3252798
433,Zhang2016-11,Clarity,Yang2017-01,Clarification,0.3252798
434,Yang2016-08,Markup-Deletion,Failgey1981-10,Meaning-Preserving-Deletion,0.32495904
435,Failgey1981-10,Meaning-Preserving-Deletion,Yang2016-08,Markup-Deletion,0.32495904
436,Falting2021-04,Vandalism,Guo2022-16,Emotionalism,0.32476518
437,Guo2022-16,Emotionalism,Falting2021-04,Vandalism,0.32476518
438,Spangher2022-05,Addition,Rajagopal2022-02,Add New Information,0.32275206
439,Daxenberger2012-09,Markup-Deletion,Failgey1981-10,Meaning-Preserving-Deletion,0.32210976
440,Failgey1981-10,Meaning-Preserving-Deletion,Daxenberger2012-09,Markup-Deletion,0.32210976
441,Failgey1981-10,Meaning-Preserving-Deletion,Daxenberger2013-17,Markup-Deletion,0.32210976
442,Daxenberger2013-17,Markup-Deletion,Failgey1981-10,Meaning-Preserving-Deletion,0.32210976
443,Yang2016-08,Markup-Deletion,Failgey1981-10,Macrostructure Changes-Deletion,0.32180893
444,Failgey1981-10,Macrostructure Changes-Deletion,Yang2016-08,Markup-Deletion,0.32180893
445,Rajagopal2022-02,Add New Information,Spangher2022-05,Addition,0.3216026
446,Rajagopal2022-02,Add Supporting Evidence,Zhang2016-11,Evidence,0.32144207
447,Zhang2016-11,Evidence,Rajagopal2022-02,Add Supporting Evidence,0.32144207
448,Yang2016-08,File-Deletion,Jones2008-13,Significant Deletion,0.32044655
449,Jones2008-13,Significant Deletion,Yang2016-08,File-Deletion,0.32044655
450,Yang2016-08,Relocation,Zhang2016-11,Organization,0.31969446
451,Zhang2016-11,Organization,Yang2016-08,Relocation,0.31969446
452,Zhang2015-06,Rebuttal/Reservation,Yang2016-08,Relocation,0.31944865
453,Yang2016-08,Relocation,Zhang2015-06,Rebuttal/Reservation,0.31944865
454,Failgey1981-10,Microstructure Changes-Addition,Jones2008-13,Structual Changes,0.31930047
455,Failgey1981-10,Microstructure Changes-Deletion,Jones2008-13,Structual Changes,0.31930047
456,Failgey1981-10,Macrostructure Changes-Addition,Jones2008-13,Structual Changes,0.31930047
457,Failgey1981-10,Macrostructure Changes-Deletion,Jones2008-13,Structual Changes,0.31930047
458,Jones2008-13,Structual Changes,Failgey1981-10,Microstructure Changes-Addition,0.31930047
459,Jones2008-13,Structual Changes,Failgey1981-10,Microstructure Changes-Deletion,0.31930047
460,Jones2008-13,Structual Changes,Failgey1981-10,Macrostructure Changes-Addition,0.31930047
461,Jones2008-13,Structual Changes,Failgey1981-10,Macrostructure Changes-Deletion,0.31930047
462,Daxenberger2012-09,Vandalism,Guo2022-16,Emotionalism,0.3164973
463,Guo2022-16,Emotionalism,Daxenberger2012-09,Vandalism,0.3164973
464,Guo2022-16,Emotionalism,Daxenberger2013-17,Vandalism,0.3164973
465,Daxenberger2013-17,Vandalism,Guo2022-16,Emotionalism,0.3164973
466,Du2022-07,Coherence,Zhang2016-11,Evidence,0.3162188
467,Zhang2016-11,Evidence,Du2022-07,Coherence,0.3162188
468,Pfeil2006-12,Delete Information,Jones2008-13,Significant Deletion,0.31468365
469,Jones2008-13,Significant Deletion,Pfeil2006-12,Delete Information,0.31468365
470,Spangher2022-05,Addition,Guo2022-16,Citation,0.31436998
471,Spangher2022-05,Deletion,Guo2022-16,Citation,0.31436998
472,Guo2022-16,Citation,Spangher2022-05,Addition,0.31436998
473,Guo2022-16,Citation,Spangher2022-05,Deletion,0.31436998
474,Failgey1981-10,Punctuation,Jones2008-13,Disambiguation,0.31269607
475,Jones2008-13,Disambiguation,Failgey1981-10,Punctuation,0.31269607
476,Failgey1981-10,Punctuation,Guo2022-16,Citation,0.3121361
477,Guo2022-16,Citation,Failgey1981-10,Punctuation,0.3121361
478,Spangher2022-05,Addition,Failgey1981-10,Meaning-Preserving-Addition,0.30935815
479,Spangher2022-05,Deletion,Failgey1981-10,Meaning-Preserving-Deletion,0.30935815
480,Failgey1981-10,Meaning-Preserving-Addition,Spangher2022-05,Addition,0.30935815
481,Failgey1981-10,Meaning-Preserving-Deletion,Spangher2022-05,Deletion,0.30935815
482,Falting2021-04,Verifiability,Jones2008-13,Style or readability,0.3090757
483,Jones2008-13,Style or readability,Falting2021-04,Verifiability,0.3090757
484,Pfeil2006-12,Delete Information,Liu2014-14,Link deletion,0.30784446
485,Liu2014-14,Link deletion,Pfeil2006-12,Delete Information,0.30784446
486,Falting2021-04,Disambiguation,Failgey1981-10,Punctuation,0.3049057
487,Failgey1981-10,Punctuation,Falting2021-04,Disambiguation,0.3049057
488,Spangher2022-05,Addition,Yang2016-08,Relocation,0.30423614
489,Yang2016-08,Relocation,Spangher2022-05,Addition,0.30423614
490,Yang2016-08,Relocation,Failgey1981-10,Punctuation,0.3041935
491,Failgey1981-10,Punctuation,Yang2016-08,Relocation,0.3041935
492,Spangher2022-05,Addition,Daxenberger2012-09,Relocation,0.30259827
493,Daxenberger2012-09,Relocation,Spangher2022-05,Addition,0.30259827
494,Yang2017-01,Elaboration,Zhang2016-11,Organization,0.3022191
495,Zhang2016-11,Organization,Yang2017-01,Elaboration,0.3022191
