,table1,col1,table2,col2,sim_score
4428,Yang2017-01,Counter Vandalism,Pfeil2006-12,Grammar,0.08705561493294475
4429,Yang2017-01,Counter Vandalism,Pfeil2006-12,Mark-up Language,0.08705561493294475
4430,Yang2017-01,Counter Vandalism,Pfeil2006-12,Reversion,0.08705561493294475
4431,Yang2017-01,Counter Vandalism,Pfeil2006-12,Spelling,0.08705561493294475
4432,Falting2021-04,Vandalism,Pfeil2006-12,Add Information,0.08705093279619266
4433,Falting2021-04,Refactoring,Pfeil2006-12,Add Information,0.08705093279619265
4434,Falting2021-04,Refactoring,Guo2022-16,Emotionalism,0.08700821089384585
4435,Falting2021-04,Copy-editing,Guo2022-16,Emotionalism,0.08700821089384585
4436,Falting2021-04,Wikification,Guo2022-16,Paraphrase,0.08700821089384585
4437,Falting2021-04,Fact Update,Guo2022-16,Emotionalism,0.08700821089384585
4438,Falting2021-04,Unlabeled,Guo2022-16,Emotionalism,0.08700821089384585
4439,Zhang2015-06,Organization,Daxenberger2012-09,Paraphrase,0.0869778897987247
4440,Zhang2015-06,Word-usage/Clarity,Daxenberger2012-09,Revert,0.0869778897987247
4441,Zhang2015-06,Word-usage/Clarity,Daxenberger2012-09,Paraphrase,0.0869778897987247
4442,Zhang2015-06,Word-usage/Clarity,Daxenberger2012-09,Spelling/Grammar,0.0869778897987247
4443,Zhang2015-06,Word-usage/Clarity,Daxenberger2012-09,Relocation,0.0869778897987247
4444,Zhang2015-06,Word-usage/Clarity,Daxenberger2012-09,Information-Modification,0.0869778897987247
4445,Zhang2015-06,Word-usage/Clarity,Daxenberger2012-09,File-Insertion,0.0869778897987247
4446,Zhang2015-06,Word-usage/Clarity,Daxenberger2012-09,File-Modification,0.0869778897987247
4447,Zhang2015-06,Word-usage/Clarity,Daxenberger2012-09,Template-Deletion,0.0869778897987247
4448,Zhang2015-06,Claim/Ideas,Daxenberger2012-09,Information-Modification,0.0869778897987247
4449,Zhang2015-06,General Content,Daxenberger2012-09,Information-Modification,0.0869778897987247
4450,Zhang2015-06,Evidence,Daxenberger2012-09,Template-Insertion,0.0869778897987247
4451,Zhang2015-06,Organization,Daxenberger2013-17,Paraphrase,0.08696429604550415
4452,Zhang2015-06,Word-usage/Clarity,Daxenberger2013-17,Revert,0.08696429604550415
4453,Zhang2015-06,Word-usage/Clarity,Daxenberger2013-17,Paraphrase,0.08696429604550415
4454,Zhang2015-06,Word-usage/Clarity,Daxenberger2013-17,Spelling/Grammar,0.08696429604550415
4455,Zhang2015-06,Word-usage/Clarity,Daxenberger2013-17,Relocation,0.08696429604550415
4456,Zhang2015-06,Word-usage/Clarity,Daxenberger2013-17,Information-Modification,0.08696429604550415
